title,manufacturer,report_date,year_folder,page_url,slug,local_path
"Waymo October 18, 2019 (PDF)",Waymo,2019-10-18,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-october-18-2019-pdf/,waymo-collision-report-october-18-2019-pdf,reports/2019/waymo-collision-report-october-18-2019-pdf.pdf
"Waymo October 19, 2019 (PDF)",Waymo,2019-10-19,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-october-19-2019-pdf/,waymo-collision-report-october-19-2019-pdf,reports/2019/waymo-collision-report-october-19-2019-pdf.pdf
"Cruise October 26, 2019 (PDF)",Cruise,2019-10-26,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-october-26-2019-pdf/,cruise-collision-report-october-26-2019-pdf,reports/2019/cruise-collision-report-october-26-2019-pdf.pdf
"Cruise October 27, 2019 (PDF)",Cruise,2019-10-27,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-october-27-2019-pdf/,cruise-collision-report-october-27-2019-pdf,reports/2019/cruise-collision-report-october-27-2019-pdf.pdf
"Cruise October 28, 2019 (PDF)",Cruise,2019-10-28,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-october-28-2019-pdf/,cruise-collision-report-october-28-2019-pdf,reports/2019/cruise-collision-report-october-28-2019-pdf.pdf
"Waymo October 28, 2019 (1) (PDF)",Waymo,2019-10-28,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-october-28-2019-1-pdf/,waymo-collision-report-october-28-2019-1-pdf,reports/2019/waymo-collision-report-october-28-2019-1-pdf.pdf
"Waymo October 28, 2019 (2) (PDF)",Waymo,2019-10-28,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-october-28-2019-2-pdf/,waymo-collision-report-october-28-2019-2-pdf,reports/2019/waymo-collision-report-october-28-2019-2-pdf.pdf
"Cruise October 29, 2019 (PDF)",Cruise,2019-10-29,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-october-29-2019-pdf/,cruise-collision-report-october-29-2019-pdf,reports/2019/cruise-collision-report-october-29-2019-pdf.pdf
"Waymo November 4, 2019 (PDF)",Waymo,2019-11-04,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-november-4-2019-pdf/,waymo-collision-report-november-4-2019-pdf,reports/2019/waymo-collision-report-november-4-2019-pdf.pdf
"Cruise November 7, 2019 (1) (PDF)",Cruise,2019-11-07,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-november-7-2019-1-pdf/,cruise-collision-report-november-7-2019-1-pdf,reports/2019/cruise-collision-report-november-7-2019-1-pdf.pdf
