variant,feature_left,feature_right,left_value,right_value,count,injury_rate,mean_pred_prob,mean_interaction_shap,mean_abs_interaction_shap
scene_plus_mechanism_operator,collision_type__rear_end,mech_yielding,0,0,154,0.3116883116883117,0.4181856953994276,0.0030144345542419703,0.0030144345542419703
scene_plus_mechanism_operator,collision_type__rear_end,mech_yielding,0,1,14,0.21428571428571427,0.3763365544463833,-0.019294047771846994,0.019294047771846994
scene_plus_mechanism_operator,collision_type__rear_end,mech_yielding,1,0,132,0.3409090909090909,0.4569421584313962,-0.0018037886716164326,0.0018037886716164326
scene_plus_mechanism_operator,collision_type__rear_end,mech_yielding,1,1,40,0.325,0.43751425367353247,0.01080149916429125,0.01080149916429125
scene_plus_mechanism_operator,mech_stop_context_expanded,manu_Cruise,0,0,72,0.2222222222222222,0.313264252005479,-0.069241232075554,0.069241232075554
scene_plus_mechanism_operator,mech_stop_context_expanded,manu_Cruise,0,1,71,0.30985915492957744,0.435154782970193,0.06583786216381737,0.06583786216381737
scene_plus_mechanism_operator,mech_stop_context_expanded,manu_Cruise,1,0,115,0.3130434782608696,0.4328265520860484,0.035261732780009616,0.035261732780009616
scene_plus_mechanism_operator,mech_stop_context_expanded,manu_Cruise,1,1,82,0.4268292682926829,0.5397582279082078,-0.029882839043808375,0.029882839043808375
scene_plus_mechanism_operator,collision_type__rear_end,manu_Cruise,0,0,91,0.27472527472527475,0.3769059871861936,0.03553172805264303,0.03553172805264303
scene_plus_mechanism_operator,collision_type__rear_end,manu_Cruise,0,1,77,0.33766233766233766,0.4593618703872415,-0.045344222370218575,0.045344222370218575
scene_plus_mechanism_operator,collision_type__rear_end,manu_Cruise,1,0,96,0.28125,0.3961628625036087,-0.03763797559150427,0.03763797559150427
scene_plus_mechanism_operator,collision_type__rear_end,manu_Cruise,1,1,76,0.40789473684210525,0.5234907928886731,0.04722876923787165,0.04722876923787165
